Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
1616,2 BHK Ready to Occupy Flat for sale Manewada,"Up for immediate sale is a 2 BHK apartment in Manewada, Nagpur. Don't miss this bargain flat for sale. This is a desirable apartment for resale. This ready to move flat located in Manewada is available for purchase at a fair price of INR 31 Lac. It is a unfurnished apartment. Some of the landmarks in the vicinity include near tapsya chowk, ring road manewada nagpur.",31 Lac ,3523,nagpur,700 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,West,"Garden/Park, Main Road",,2,1,,Freehold,,,
1617,2 BHK Ready to Occupy Flat for sale in Shree Tirupati Plaza Nandanvan,"Nandanvan, Nagpur has an attractive 2 BHK Flat for sale. It is based at Shree Tirupati Plaza complex, that occupies a prominent place in the locality. This flat for resale is a choice property. This ready to move flat in Nandanvan comes at an affordable price of INR 45 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Some neighbouring landmarks are pandav college.",45 Lac ,4286,nagpur,750 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,East,,Shree Tirupati Plaza,2,3,,Freehold,,,
1618,3 BHK Ready to Occupy Flat for sale in Om Atharva Godhani Road,"This attractive 3 BHK apartment can be found for sale in Godhani Road, Nagpur. It is based at Om Atharva complex, that occupies a prominent place in the locality. This flat for resale is a choice property. Available at a reasonable selling price of INR 70 Lac, this ready to move apartment in Godhani Road is a great buy. The flat is sold in semi-furnished condition.",70 Lac ,,nagpur,1500 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,,,Om Atharva,2,2,,,,,
1619,2 BHK Ready to Occupy Flat for sale Koradi Road,"This beautiful 2 BHK Flat is available for sale in Koradi Road, Nagpur. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! Located in Koradi Road, this ready to move apartment is sold at a fair selling price of INR 27 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. The property is constructed with proximity to major landmarks like koradi road.",27 Lac ,2935,nagpur,,Ready to Move,1 out of 3,Resale,Unfurnished,East,Main Road,,2,2,1 Covered,Freehold,920 sqft,,
1620,2 BHK Ready to Occupy Flat for sale Bel Tarodi,Discover this immaculate 2 BHK flat for sale at the pristine Bel Tarodi in Nagpur. This apartment is a property of choice for resale. The ready to move flat in the prime area of Bel Tarodi is available at a reasonable price of INR 40 Lac. It is a semi-furnished apartment.,40 Lac ,4040,nagpur,,Ready to Move,3 out of 4,Resale,Semi-Furnished,,,,2,3,,Freehold,990 sqft,,
1621,3 BHK Ready to Occupy Flat for sale in Nectar Residency Khamla,"Discover this immaculate 3 BHK flat for sale at the pristine Khamla in Nagpur. Situated in the Nectar Residency township, it has a prime location. This apartment for resale is a great choice. In Khamla, this ready to move flat is available at an attractive price of INR 1.20 Cr. The flat is sold in semi-furnished condition.",1.20 Cr ,7807,nagpur,,Ready to Move,1 out of 6,Resale,Semi-Furnished,,,Nectar Residency,3,2,,,1537 sqft,,
1622,3 BHK Ready to Occupy Flat for sale Byramji Town,"This magnificent 3 BHK Flat is available for sale in Byramji Town, Nagpur. This apartment for resale is a great choice. Located in Byramji Town, this ready to move apartment is sold at a fair selling price of INR 1.25 Cr. This premium unfurnished flat spells quality and comfort at a competitive price. The flat is easily approachable because it is near to poonam chambers.",1.25 Cr ,8278,nagpur,1100 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,East,Main Road,,3,3,,Leasehold,,,
1623,2 BHK Ready to Occupy Flat for sale Hudakeshwar Road Nagpur,"This lovely 2 BHK Flat in Hudakeshwar Road, Nagpur is up for sale. This flat all equipped with required facilities, is up for resale. This ready to move flat located in Hudakeshwar Road is available for purchase at a fair price of INR 40 Lac. This contemporary apartment is semi-furnished.",Call for Price,,nagpur,,Ready to Move,1 out of 3,Resale,Semi-Furnished,,,,2,4,1 Covered,,1400 sqft,,
1624,3 BHK Ready to Occupy Flat for sale Honey Archana Complex Nagpur,"This gorgeous 3 BHK Flat is available for sale in Honey Archana Complex, Nagpur. This flat for resale is a choice property. This ready to move flat in Honey Archana Complex comes at an affordable price of INR 70 Lac. The apartment is furnished.",70 Lac ,5344,nagpur,,Ready to Move,4 out of 6,Resale,Furnished,,,,2,2,1 Covered,,1310 sqft,,
1625,2 BHK Ready to Occupy Flat for sale Godhani Road,2 BHK flat available for sale in Nagpur in the prime location of Godhani Road. This apartment for resale is a great choice. The ready to move flat in the prime area of Godhani Road is available at a reasonable price of INR 30 Lac. The spacious apartment is semi-furnished.,30 Lac ,3529,nagpur,,Ready to Move,2 out of 4,Resale,Semi-Furnished,,,,2,,,,850 sqft,,
